iter	Passed	Remaining
833	12976	33702
834	12991	33685
835	13007	33671
836	13023	33656
837	13040	33642
838	13056	33629
839	13073	33618
840	13089	33602
841	13105	33588
842	13120	33571
843	13135	33553
844	13152	33541
845	13168	33529
846	13183	33512
847	13198	33493
848	13213	33477
849	13230	33465
850	13245	33448
851	13260	33431
852	13276	33416
853	13290	33398
854	13307	33385
855	13323	33370
856	13338	33353
857	13355	33341
858	13370	33325
859	13385	33307
860	13400	33292
861	13415	33274
862	13430	33257
863	13446	33242
864	13460	33222
865	13473	33202
866	13489	33186
867	13503	33167
868	13518	33150
869	13533	33134
870	13548	33117
871	13564	33102
872	13579	33085
873	13594	33068
874	13608	33049
875	13623	33032
876	13637	33013
877	13653	32997
878	13667	32980
879	13682	32962
880	13697	32945
881	13712	32927
882	13726	32909
883	13740	32890
884	13754	32871
885	13768	32852
886	13783	32835
887	13799	32819
888	13813	32801
889	13827	32782
890	13842	32764
891	13856	32745
892	13870	32726
893	13884	32708
894	13899	32691
895	13914	32675
896	13929	32656
897	13944	32640
898	13959	32622
899	13973	32605
900	13987	32586
901	14001	32567
902	14017	32551
903	14031	32533
904	14046	32515
905	14060	32498
906	14074	32478
907	14089	32461
908	14100	32436
909	14115	32420
910	14132	32407
911	14150	32398
912	14165	32380
913	14179	32362
914	14194	32344
915	14208	32327
916	14223	32309
917	14238	32291
918	14251	32271
919	14266	32254
920	14281	32237
921	14294	32216
922	14308	32198
923	14326	32187
924	14343	32176
925	14368	32182
926	14400	32203
927	14434	32229
928	14473	32265
929	14498	32270
930	14512	32251
931	14526	32233
932	14541	32215
933	14556	32199
934	14570	32179
935	14584	32161
936	14600	32144
937	14615	32128
938	14629	32110
939	14645	32094
940	14660	32078
941	14674	32060
942	14689	32043
943	14703	32024
944	14719	32008
945	14733	31990
946	14748	31972
947	14762	31954
948	14776	31935
949	14790	31915
950	14805	31899
951	14819	31881
952	14834	31863
953	14849	31846
954	14863	31828
955	14877	31810
956	14892	31792
957	14906	31773
958	14921	31756
959	14935	31737
960	14950	31721
961	14965	31703
962	14979	31686
963	14995	31670
964	15009	31651
965	15023	31632
966	15037	31613
967	15051	31595
968	15065	31577
969	15081	31561
970	15094	31541
971	15108	31523
972	15124	31507
973	15139	31491
974	15154	31473
975	15168	31456
976	15183	31439
977	15198	31422
978	15212	31404
979	15227	31386
980	15242	31370
981	15256	31351
982	15271	31334
983	15285	31316
984	15300	31299
985	15314	31282
986	15329	31264
987	15344	31247
988	15359	31231
989	15373	31212
990	15387	31195
991	15401	31176
992	15416	31159
993	15432	31143
994	15447	31127
995	15463	31113
996	15477	31095
997	15491	31077
998	15506	31059
999	15520	31041
1000	15534	31023
1001	15548	31003
1002	15563	30986
1003	15578	30970
1004	15592	30952
1005	15607	30935
1006	15623	30920
1007	15640	30909
1008	15658	30897
1009	15674	30883
1010	15689	30867
1011	15705	30851
1012	15720	30836
1013	15737	30822
1014	15753	30809
1015	15769	30793
1016	15786	30780
1017	15801	30764
1018	15818	30751
1019	15832	30734
1020	15849	30720
1021	15864	30705
1022	15880	30690
1023	15896	30675
1024	15912	30661
1025	15929	30647
1026	15944	30630
1027	15958	30613
1028	15973	30595
1029	15989	30581
1030	16004	30565
1031	16019	30549
1032	16036	30535
1033	16052	30520
1034	16067	30505
1035	16083	30490
1036	16099	30475
1037	16115	30461
1038	16131	30446
1039	16148	30432
1040	16163	30417
1041	16180	30403
1042	16195	30388
1043	16211	30372
1044	16227	30358
1045	16243	30344
1046	16260	30331
1047	16276	30316
1048	16292	30301
1049	16308	30287
1050	16325	30274
1051	16340	30258
1052	16355	30240
1053	16370	30225
1054	16385	30208
1055	16400	30192
1056	16414	30173
1057	16430	30157
1058	16444	30141
1059	16460	30125
1060	16475	30108
1061	16490	30092
1062	16504	30075
1063	16519	30057
1064	16534	30042
1065	16549	30024
1066	16564	30007
1067	16578	29990
1068	16594	29976
1069	16609	29959
1070	16623	29941
1071	16638	29924
1072	16653	29908
1073	16667	29890
1074	16681	29871
1075	16696	29855
1076	16711	29839
1077	16726	29822
1078	16741	29806
1079	16755	29788
1080	16770	29771
1081	16785	29754
1082	16800	29737
1083	16810	29713
1084	16824	29695
1085	16838	29677
1086	16853	29659
1087	16867	29642
1088	16882	29625
1089	16897	29609
1090	16912	29592
1091	16926	29574
1092	16940	29556
1093	16955	29540
1094	16970	29523
1095	16984	29505
1096	16998	29488
1097	17013	29471
1098	17028	29454
1099	17042	29436
1100	17056	29418
1101	17071	29402
1102	17085	29384
1103	17100	29368
1104	17115	29351
1105	17129	29333
1106	17144	29317
1107	17159	29301
1108	17174	29284
1109	17188	29266
1110	17203	29250
1111	17218	29234
1112	17234	29219
1113	17249	29203
1114	17264	29186
1115	17278	29169
1116	17293	29152
1117	17307	29134
1118	17322	29118
1119	17337	29102
1120	17352	29085
1121	17366	29068
1122	17383	29054
1123	17396	29036
1124	17412	29020
1125	17427	29004
1126	17442	28987
1127	17457	28972
1128	17474	28958
1129	17489	28943
1130	17506	28929
1131	17522	28914
1132	17538	28899
1133	17554	28885
1134	17569	28869
1135	17583	28852
1136	17598	28835
1137	17613	28820
1138	17629	28804
1139	17643	28786
1140	17658	28769
1141	17673	28753
1142	17688	28737
1143	17702	28719
1144	17717	28703
1145	17732	28687
1146	17748	28673
1147	17764	28657
1148	17779	28642
1149	17795	28626
1150	17810	28612
1151	17826	28596
1152	17841	28580
1153	17856	28563
1154	17871	28547
1155	17886	28531
1156	17900	28514
1157	17914	28495
1158	17928	28478
1159	17943	28461
1160	17958	28445
1161	17974	28430
1162	17990	28415
1163	18006	28401
1164	18022	28387
1165	18039	28373
1166	18054	28358
1167	18069	28341
1168	18082	28322
1169	18097	28306
1170	18113	28291
1171	18127	28274
1172	18142	28257
1173	18156	28239
1174	18171	28223
1175	18185	28206
1176	18200	28190
1177	18214	28172
1178	18229	28155
1179	18244	28139
1180	18259	28123
1181	18274	28106
1182	18288	28090
